question_number,county,response,frequency
1,"Latah","Strongly Disagree",0.1
1,"Latah","Disagree",0.25
1,"Latah","Neutral",0.45
1,"Latah","Agree",0.15
1,"Latah","Strongly Agree",0.04
1,"Whitman","Strongly Disagree",0.08
1,"Whitman","Disagree",0.1
1,"Whitman","Neutral",0.12
1,"Whitman","Agree",0.55
1,"Whitman","Strongly Agree",0.15
2,"Latah","Strongly Disagree",0.01
2,"Latah","Disagree",0.03
2,"Latah","Neutral",0.06
2,"Latah","Agree",0.35
2,"Latah","Strongly Agree",0.55
2,"Whitman","Strongly Disagree",0.1
2,"Whitman","Disagree",0.25
2,"Whitman","Neutral",0.35
2,"Whitman","Agree",0.25
2,"Whitman","Strongly Agree",0.04
